Timestamp;Value
2024-01-07 23:35:53;0.023
2024-01-07 23:37:53;0.0235
2024-01-07 23:39:53;0.023
2024-01-07 23:41:53;0.024
2024-01-07 23:43:53;0.0235
2024-01-07 23:45:53;0.0225
2024-01-07 23:47:53;0.0235
2024-01-07 23:49:53;0.023
2024-01-07 23:51:53;0.024
2024-01-07 23:53:53;0.0235
2024-01-07 23:55:53;0.024
2024-01-07 23:57:53;0.0245
2024-01-07 23:59:53;0.024
2024-01-08 00:01:53;0.0235
2024-01-08 00:03:53;0.024
2024-01-08 00:05:53;0.023
2024-01-08 00:07:53;0.0235
2024-01-08 00:09:53;0.0235
2024-01-08 00:11:53;0.024
2024-01-08 00:13:53;0.0235
2024-01-08 00:15:53;0.024
2024-01-08 00:17:53;0.024
2024-01-08 00:19:53;0.024
2024-01-08 00:21:53;0.023
2024-01-08 00:23:53;0.0235
2024-01-08 00:25:53;0.024
2024-01-08 00:27:53;0.0235
2024-01-08 00:29:53;0.024
2024-01-08 00:31:53;0.0245
2024-01-08 00:33:53;0.023
2024-01-08 00:35:53;0.022
2024-01-08 00:37:53;0.023
2024-01-08 00:39:53;0.0235
2024-01-08 00:41:53;0.025
2024-01-08 00:43:53;0.0235
2024-01-08 00:45:53;0.024
2024-01-08 00:47:53;0.0235
2024-01-08 00:49:53;0.024
2024-01-08 00:51:53;0.023
2024-01-08 00:53:53;0.0235
2024-01-08 00:55:53;0.024
2024-01-08 00:57:53;0.024
2024-01-08 00:59:53;0.024
2024-01-08 01:01:53;0.024
2024-01-08 01:03:53;0.024
2024-01-08 01:05:53;0.0245
2024-01-08 01:07:53;0.023
2024-01-08 01:09:53;0.024
2024-01-08 01:11:53;0.0235
2024-01-08 01:13:53;0.024
2024-01-08 01:15:53;0.0235
2024-01-08 01:17:53;0.0235
2024-01-08 01:19:53;0.0225
2024-01-08 01:21:53;0.0225
2024-01-08 01:23:53;0.0235
2024-01-08 01:25:53;0.0235
2024-01-08 01:27:53;0.023
2024-01-08 01:29:53;0.0235
2024-01-08 01:31:53;0.023
2024-01-08 01:33:53;0.0235
2024-01-08 01:35:53;0.0245
2024-01-08 01:37:53;0.024
2024-01-08 01:39:53;0.024
2024-01-08 01:41:53;0.023
2024-01-08 01:43:53;0.0225
2024-01-08 01:45:53;0.024
2024-01-08 01:47:53;0.0235
2024-01-08 01:49:53;0.023
2024-01-08 01:51:53;0.024
2024-01-08 01:55:53;0.023
2024-01-08 01:57:53;0.024
2024-01-08 01:59:53;0.0245
2024-01-08 02:01:53;0.024
2024-01-08 02:03:53;0.0225
2024-01-08 02:05:53;0.0245
2024-01-08 02:07:53;0.0245
2024-01-08 02:09:53;0.023
2024-01-08 02:11:53;0.023
2024-01-08 02:13:53;0.0235
2024-01-08 02:15:53;0.0235
2024-01-08 02:17:53;0.024
2024-01-08 02:19:53;0.0225
2024-01-08 02:21:53;0.024
2024-01-08 02:23:53;0.025
2024-01-08 02:25:53;0.023
2024-01-08 02:27:53;0.023
2024-01-08 02:29:53;0.0245
2024-01-08 02:31:53;0.0245
2024-01-08 02:33:53;0.024
2024-01-08 02:35:53;0.023
2024-01-08 02:37:53;0.023
2024-01-08 02:39:53;0.0245
2024-01-08 02:41:53;0.0235
2024-01-08 02:43:53;0.0235
2024-01-08 02:45:53;0.0245
2024-01-08 02:47:53;0.0245
2024-01-08 02:49:53;0.023
2024-01-08 02:51:53;0.024
2024-01-08 02:53:53;0.0235
2024-01-08 02:55:53;0.023
2024-01-08 02:57:53;0.024
2024-01-08 02:59:53;0.024
2024-01-08 03:01:53;0.023
2024-01-08 03:03:53;0.023
2024-01-08 03:05:53;0.023
2024-01-08 03:07:53;0.0235
2024-01-08 03:09:53;0.0225
2024-01-08 03:11:53;0.023
2024-01-08 03:13:53;0.0235
2024-01-08 03:15:53;0.024
2024-01-08 03:17:53;0.023
2024-01-08 03:19:53;0.023
2024-01-08 03:21:53;0.0235
2024-01-08 03:23:53;0.0245
2024-01-08 03:25:53;0.023
2024-01-08 03:27:53;0.024
2024-01-08 03:29:53;0.024
2024-01-08 03:31:53;0.0235
2024-01-08 03:33:53;0.025
2024-01-08 03:35:53;0.023
2024-01-08 03:37:53;0.023
2024-01-08 03:39:53;0.023
2024-01-08 03:41:53;0.0245
2024-01-08 03:43:53;0.0225
2024-01-08 03:45:53;0.0235
2024-01-08 03:47:53;0.0225
2024-01-08 03:49:53;0.0245
2024-01-08 03:51:53;0.024
2024-01-08 03:53:53;0.0245
2024-01-08 03:55:53;0.0235
2024-01-08 03:57:53;0.024
2024-01-08 03:59:53;0.0235
2024-01-08 04:01:53;0.0225
2024-01-08 04:03:53;0.0235
2024-01-08 04:05:53;0.023
2024-01-08 04:07:53;0.022
2024-01-08 04:09:53;0.0235
2024-01-08 04:11:53;0.0235
2024-01-08 04:13:53;0.023
2024-01-08 04:15:53;0.023
2024-01-08 04:17:53;0.0235
2024-01-08 04:19:53;0.0225
2024-01-08 04:21:53;0.024
2024-01-08 04:23:53;0.023
2024-01-08 04:25:53;0.024
2024-01-08 04:27:53;0.0225
2024-01-08 04:29:53;0.0235
2024-01-08 04:31:53;0.023
2024-01-08 04:33:53;0.024
2024-01-08 04:35:53;0.024
2024-01-08 04:37:53;0.0225
2024-01-08 04:39:53;0.0235
2024-01-08 04:41:53;0.0225
2024-01-08 04:43:53;0.0235
2024-01-08 04:45:53;0.024
2024-01-08 04:47:53;0.0225
2024-01-08 04:49:53;0.023
2024-01-08 04:51:53;0.024
2024-01-08 04:53:53;0.0235
2024-01-08 04:55:53;0.024
2024-01-08 04:57:53;0.0235
2024-01-08 05:01:53;0.023
2024-01-08 05:03:53;0.023
2024-01-08 05:05:53;0.024
2024-01-08 05:07:53;0.023
2024-01-08 05:09:53;0.0235
2024-01-08 05:11:53;0.0235
2024-01-08 05:13:53;0.0235
2024-01-08 05:15:53;0.023
2024-01-08 05:17:53;0.023
2024-01-08 05:19:53;0.024
2024-01-08 05:21:53;0.0235
2024-01-08 05:23:53;0.0235
2024-01-08 05:25:53;0.0225
2024-01-08 05:27:53;0.024
2024-01-08 05:29:53;0.0245
2024-01-08 05:31:53;0.0235
2024-01-08 05:33:53;0.025
2024-01-08 05:35:53;0.024
2024-01-08 05:37:53;0.023
2024-01-08 05:39:53;0.024
2024-01-08 05:41:53;0.0235
2024-01-08 05:43:53;0.024
2024-01-08 05:45:53;0.024
2024-01-08 05:47:53;0.023
2024-01-08 05:49:53;0.0235
2024-01-08 05:51:53;0.0235
2024-01-08 05:53:53;0.024
2024-01-08 05:55:53;0.024
2024-01-08 05:57:53;0.0235
2024-01-08 05:59:53;0.0235
2024-01-08 06:01:53;0.023
2024-01-08 06:03:53;0.0235
2024-01-08 06:05:53;0.024
2024-01-08 06:07:53;0.024
2024-01-08 06:09:53;0.0245
2024-01-08 06:11:53;0.024
2024-01-08 06:13:53;0.024
2024-01-08 06:15:53;0.0225
2024-01-08 06:17:53;0.025
2024-01-08 06:19:53;0.0225
2024-01-08 06:21:53;0.0235
2024-01-08 06:23:53;0.0245
2024-01-08 06:25:53;0.023
2024-01-08 06:27:53;0.0235
2024-01-08 06:29:53;0.023
2024-01-08 06:31:53;0.024
2024-01-08 06:33:53;0.024
2024-01-08 06:35:53;0.0235
2024-01-08 06:37:53;0.024
2024-01-08 06:39:53;0.0235
2024-01-08 06:41:53;0.024
2024-01-08 06:43:53;0.0245
2024-01-08 06:45:53;0.024
2024-01-08 06:47:53;0.0225
2024-01-08 06:49:53;0.024
2024-01-08 06:51:53;0.0235
2024-01-08 06:53:53;0.024
2024-01-08 06:55:53;0.0235
2024-01-08 06:57:53;0.023
2024-01-08 06:59:53;0.023
2024-01-08 07:01:53;0.025
2024-01-08 07:03:53;0.023
2024-01-08 07:05:53;0.0235
2024-01-08 07:07:53;0.0235
2024-01-08 07:09:53;0.024
2024-01-08 07:11:53;0.024
2024-01-08 07:13:53;0.0235
2024-01-08 07:15:53;0.0235
2024-01-08 07:17:53;0.0245
2024-01-08 07:19:53;0.024
2024-01-08 07:21:53;0.023
2024-01-08 07:23:53;0.024
2024-01-08 07:25:53;0.024
2024-01-08 07:27:53;0.022
2024-01-08 07:29:53;2.0135000000000005
2024-01-08 07:31:53;2.097
2024-01-08 07:33:53;1.8624999999999998
2024-01-08 07:35:53;1.7175
2024-01-08 07:37:53;1.8279999999999998
2024-01-08 07:39:53;1.8465
2024-01-08 07:41:53;1.876
2024-01-08 07:43:53;1.7985
2024-01-08 07:45:53;1.737
2024-01-08 07:47:53;1.8279999999999998
2024-01-08 07:49:53;1.8595000000000002
2024-01-08 07:51:53;1.8375
